year,gattwto,co2perc,rgdpch,areap,polity
1990,0,0.5038033,1.89,121.8494,-7
1990,1,3.385655,7.158,84.13595,7
1990,1,14.84486,19.451,446.4067,10
1990,1,7.301254,19.403,10.708,10
1990,1,0.033388,0.961,4.701246,-7
1990,1,9.840611,20.404,3.292866,10
1990,1,0.1117569,0.959,30.83333,-7
1990,1,0.1432499,1.36,1.213305,-5
1990,1,0.8233227,2.551,164.9764,9
1990,1,1.333406,6.296,57.16175,8
1990,1,1.704307,5.513,444.1458,9
1990,1,0.0638102,1.511,211.7539,-7
1990,1,14.71704,22.131,331.797,10
1990,1,6.448033,26.893,5.925209,10
1990,1,2.68248,6.124,57.16467,8
1990,0,2.041409,1.775,8.215943,-7
1990,1,0.8271087,2.004,27.33133,-7
1990,1,0.2003657,2.205,40.56834,-8
1990,1,0.915993,1.871,153.8288,-8
1990,1,1.642231,4.876,29.7026,8
1990,1,0.1527778,2.701,5.162037,4
1990,1,0.9295881,5.11,17.05411,10
1990,1,2.994654,7.329,10.36656,-7
1990,1,6.418796,13.269,13.58443,10
1990,1,9.974786,21.678,8.379377,10
1990,1,1.321828,3.169,6.853727,6
1990,0,3.116669,5.13,95.23151,-2
1990,0,1.629238,3.754,26.97194,9
1990,1,1.409161,3.498,18.98192,-3
1990,1,5.464489,13.808,12.86023,10
1990,0,0.0581321,0.62,21.51231,-8
1990,1,10.65176,19.708,61.09306,10
1990,0,1.125136,4.757,24.82337,5
1990,1,6.228122,19.823,9.695955,9
1990,1,9.847879,18.263,4.197286,10
1990,1,0.2348218,1.302,16.04169,-7
1990,0,0.1750825,2.648,42.72111,-7
1990,1,0.2068404,1.364,10.86957,8
1990,0,0.2163731,0.869,28.90031,-6
1990,0,0.3329546,1.535,79.6875,-7
1990,1,7.186291,12.114,12.87767,10
1990,0,0.555355,3.672,12.39342,3
1990,1,1.424151,2.305,247.6101,-7
1990,0,0.5095788,2.232,22.93298,6
1990,1,0.1584891,1.01,4.257686,7
1990,1,6.390883,9.601,8.908828,10
1990,1,1.196055,2.843,10.16411,-7
